scientific_name,common_name,category,growth_habit,height_mature_ft,shade_tolerance,notes,usda_hardiness_zone,water,catalog_source
Hydrangea serrata 'Bluebird',Bluebird Mountain Hydrangea,flower,shade flowering shrub,4.0,partial,"Plant container-grown shrubs in spring in moist, humus-rich, well-drained soil in partial shade; Bluebird mountain hydrangea is more cold-hardy and reliably reblooms after a hard pruning better than many bigleaf hydrangeas. Delicate, lacecap flower heads ring a center of small, fertile blue (or pink in alkaline soil) flowers with a fringe of larger, showier sterile florets, a more refined, airy bloom than the tight mophead clusters of standard bigleaf hydrangea, on a compact, well-branched shrub with narrower, more textured leaves. As a mountain hydrangea it tolerates more cold and sun than typical bigleaf hydrangeas and blooms on both old and some new wood, making it more forgiving of pruning mistakes and late spring frosts that can eliminate the year's flowers on old-wood-only cultivars. Amend soil pH to control flower color — more acidic soil produces blue tones, more alkaline soil produces pink — and mulch well to keep roots cool and moist through summer.",5-9,high,OpenPlantDB (CC0)
Hibiscus syriacus 'Bluebird',Bluebird Rose of Sharon (Clear Blue-Violet Red-Eyed Althea),flower,deciduous shrub,12.0,full,"Plant in average, well-drained soil in full sun; prune in late winter to shape and encourage vigorous new flowering wood. Bluebird is a widely grown, older rose of sharon selection carrying clear blue-violet, single flowers with a small red eye at the center, considered one of the truest blue tones available among rose of sharon cultivars, blooming heavily from midsummer into fall on a vigorous, upright shrub. It is tough and easy to grow in average garden soil, tolerating heat and humidity well, though as an older, seed-fertile cultivar it can self-seed more readily than the sterile triploid selections bred more recently, so deadhead spent flowers if volunteer seedlings are a concern. It needs little care beyond an annual late-winter pruning to maintain shape.",5-9,moderate,OpenPlantDB (CC0)
Ceanothus thyrsiflorus,Blueblossom Ceanothus (California Lilac),flower,California native evergreen shrub,15.0,full,"Plant in well-drained soil in full sun to partial shade and water only to establish, since summer irrigation on settled soil is the leading cause of root rot and premature death in this famously drought-adapted shrub. Blueblossom ceanothus is one of the showiest California native shrubs, producing a spectacular late-winter to spring display of dense, powder-blue to deep cobalt flower clusters that smother the glossy, dark evergreen foliage and draw enormous numbers of native bees. It grows quickly, often 2 to 3 feet a year while young, reaching large shrub or small multi-trunked tree size along the coast, and works well as an informal hedge, slope stabilizer, or specimen where its rapid early growth and long-term drought tolerance can be put to use. Prune lightly right after flowering if shaping is needed, since old wood does not resprout reliably, and avoid heavy pruning into bare wood.",7-10,low,OpenPlantDB (CC0)
Quercus incana,Bluejack Oak,flower,native shade tree,40.0,full,"Bluejack Oak is a distinctive native tree of sandhills, xeric upland forest, and fire-maintained scrub across the southeastern coastal plain from Virginia to Texas, immediately recognizable among oaks by its blue-gray, paddle-shaped leaves with pale, hairy undersides that give the small tree a frosted, silvery appearance unlike any other eastern oak. Adapted to the driest, most nutrient-poor sandy soils of the coastal plain, Bluejack Oak is extremely drought-tolerant and fire-resilient, regenerating rapidly from its extensive root system after low-intensity fires that historically maintained the sandhills where it is one of the dominant trees. The small acorns ripen in fall and are a critical food source for white-tailed deer, wild turkeys, small mammals, and Florida Scrub-Jays in dry upland communities where larger mast-producing oaks may be absent. Direct sow fresh acorns in fall at 1–2 inch depth in infertile, sandy, extremely well-drained, acidic soil in full sun — Bluejack Oak will not tolerate clay, excess moisture, or shade.",6-9,low,OpenPlantDB (CC0)
Quercus austrina,Bluff Oak (Bastard White Oak),flower,native deciduous tree,40.0,full,"Plant fresh acorns in fall in well-drained, slightly acidic to neutral, dry to average, rocky or sandy soil in full sun; bluff oak is a medium to large white-oak group oak of the lower Piedmont and Gulf Coastal Plain, naturally growing on rocky bluffs, dry slopes, and upland sites from North Carolina to Georgia and Alabama. The leaves are variable but typically club-shaped with rounded lobes, resembling a smaller or more graceful white oak leaf. Like all white-oak group oaks, the sweet acorns ripen in a single season and are immediately germinated by squirrels and blue jays. The tree provides important acorn mast for wildlife and supports the full suite of moth and butterfly caterpillars that depend on native oaks. Relatively uncommon in cultivation and underused compared to its relatives, bluff oak is a dependable, drought-tolerant native for dry, upland settings in the Gulf South.",6-9,low,OpenPlantDB (CC0)
Rosa 'Blush Noisette',Blush Noisette Rose (The Founding Noisette Rose),flower,shrub rose,8.0,full,"Plant in well-drained, average soil in full sun to light afternoon shade. Blush Noisette is historically significant as the original rose of the Noisette class, raised from seed in Charleston, South Carolina around 1811-1817 by rice planter John Champneys and further developed by nurseryman Philippe Noisette, making it one of the very few major rose classes bred in North America. It produces large clusters of small, soft pink, sweetly fragrant blooms in nearly continuous flushes through the growing season, on a vigorous, arching shrub that can be grown as a large shrub or trained as a modest climber. Noisette roses remain some of the best-adapted roses for the heat and humidity of the Deep South, and Blush Noisette needs little more than a sunny site and occasional shaping to perform for decades.",6-9,low,OpenPlantDB (CC0)
Nandina domestica 'Blush Pink',Blush Pink Nandina (Soft Pink New-Growth Compact Heavenly Bamboo),flower,evergreen shrub,2.0,partial,"Blush Pink is a dwarf, mounding nandina selected for new foliage that emerges soft candy-pink before maturing to green, giving a softer, pastel-toned flush of color than the red new growth typical of most dwarf nandina cultivars. Its compact, dense habit fits foundation plantings and mixed containers, and the plant is sterile, producing no berries and avoiding the self-seeding that has made standard nandina an invasive problem in parts of the Southeast. Little pruning beyond removing occasional damaged canes is needed to keep its naturally tidy shape.",6-9,low,OpenPlantDB (CC0)
Hydrangea paniculata 'Ilvobo',Bobo Hydrangea (Compact Dwarf Panicle Hydrangea),flower,deciduous shrub,3.0,partial,"Plant in moist, well-drained, slightly acidic to neutral, moderately fertile soil in full sun to partial shade; Bobo is the most compact of the widely available panicle hydrangea cultivars — a dwarf selection staying just 2.5–3 feet tall and wide while producing flower panicles nearly as large as those of full-size cultivars like Limelight. This unusually large flower-to-plant-size ratio gives Bobo a heavily blooming, almost top-heavy appearance at peak bloom that creates a dramatic visual impact from a very compact plant. The large, cone-shaped flower panicles open pure white in mid-summer and transition through blush-pink to dusty rose as fall approaches — a 3–4 month evolving color display. Bobo's compact, mounding habit and relatively sturdy stems that hold the large flower heads erect without flopping make it one of the most practically useful panicle hydrangea introductions for residential landscape use. Like all Hydrangea paniculata cultivars, Bobo blooms on new wood and is pruned hard in late winter (to 12 inches or shorter) to encourage vigorous new growth and maximum flower production. This new-wood blooming habit means the timing of pruning is not critical — unlike the French hydrangeas that must be pruned at precisely the right time or lose the season's bloom. In zone 9, afternoon shade helps maintain flower color and extend the display season through the intense summer heat.",3-9,moderate,OpenPlantDB (CC0)
Callicarpa bodinieri var. giraldii,Bodinier's Beautyberry,flower,fall-berrying ornamental shrub,8.0,partial,"Plant in moist, well-drained, slightly acidic to neutral, fertile soil in full sun to part shade; Bodinier's beautyberry is the Chinese species most widely considered superior to the American beautyberry (Callicarpa americana) for ornamental use, producing extraordinarily vivid, metallic violet-purple berries in very large, densely packed clusters along the arching branches in October–November — the intensity of the color approaches an almost unreal, electric quality that is one of the most striking autumn fruit displays in temperate horticulture. The clusters are larger, more densely packed, and the berry color more metallic and saturated than the American native. The cultivar 'Profusion' is the most widely planted and has become a standard of the British and American garden for its exceptional berry production. Unlike the American species, Bodinier's beautyberry is hardy to zone 5 without dieback. The pink to lilac summer flowers are small and inconspicuous. After frost removes the leaves, the vivid purple berry clusters on the bare, arching branches are an extraordinary sight that persists into winter and is eaten by birds.",5-8,moderate,OpenPlantDB (CC0)
Callicarpa bodinieri,Bodinier's Beautyberry,flower,deciduous shrub,6.0,full,"Set transplants in well-drained soil amended with compost, spacing them 4 to 6 feet apart to allow the arching branches to develop freely. Water regularly through the first growing season to establish deep roots, then reduce irrigation as the shrub becomes more drought tolerant. Cut stems back by about one-third in late winter to encourage vigorous new growth and the most prolific berry production the following autumn. The metallic violet-purple berry clusters persist on bare stems well into winter and are a standout in the landscape.",5-8,moderate,OpenPlantDB (CC0)
Kalmia polifolia,Bog Laurel,flower,native bog shrub,2.0,partial,"Plant in acidic, consistently wet, peaty soil in partial shade; bog laurel is a low, wiry, evergreen shrub of northern peat bogs, with narrow leaves that are dark green above and whitish underneath, and in late spring produces clusters of small, saucer-shaped, rose-pink flowers held above the foliage on the current season's new growth. Growing naturally in permanently saturated, nutrient-poor, acidic bogs alongside sphagnum moss, it is a plant for a true bog garden or an engineered rain garden basin kept consistently wet and acidic, not an ordinary moist border — normal garden soil and drying out are both fatal to it over time. Like its relative mountain laurel, all parts of the plant contain grayanotoxins and are toxic if ingested, so keep it away from grazing animals and out of reach of children and pets. Where conditions genuinely suit it, bog laurel needs essentially no maintenance once established.",2-6,high,OpenPlantDB (CC0)
Andromeda polifolia,Bog Rosemary,flower,native evergreen shrub,2.0,full,"Bog Rosemary is a native circumpolar evergreen shrub of the coldest, wettest, most acidic sphagnum bogs and arctic tundra of the Northern Hemisphere, prized among bog garden enthusiasts for its attractive, narrow, blue-green, rosemary-like evergreen leaves with rolled margins and beautiful clusters of small, pink, globe-shaped flowers in spring. Like other members of the blueberry family adapted to the specialized bog environment, Bog Rosemary requires extreme growing conditions — permanently saturated, strongly acidic (pH 3.5–5.0), nutrient-poor peat — and is entirely unsuitable for conventional garden soil or climates south of Zone 6. All parts of the plant contain grayanotoxins and are toxic to livestock; the specific epithet polifolia ('gray-leaved') refers to the glaucous appearance of the foliage. Plant rooted cuttings in permanently wet sphagnum peat in full sun; Bog Rosemary is an outstanding native specimen for cold-climate bog gardens, peat gardens, and tundra-habitat restorations where its specialized conditions can be maintained.",2-6,high,OpenPlantDB (CC0)
Fuchsia boliviana,Bolivian Fuchsia,flower,shade flowering shrub,12.0,partial,"Plant container-grown transplants after last frost in rich, moist, well-drained soil in partial shade; Bolivian fuchsia is frost-tender and grown as a container specimen brought indoors for winter outside zones 9b-11. This large, vigorous, shrubby fuchsia from the Andean cloud forests of Bolivia and Argentina produces long, drooping clusters of slender, tubular, deep red flowers in nearly continuous bloom through the warm season, drawing hummingbirds in large numbers to even a single well-grown plant. Its bold size and shrubby, almost tree-like habit set it apart from the more compact hybrid fuchsias typically grown in hanging baskets, making it a striking specimen for a large container or the back of a shaded border in mild climates. Pinch young plants to encourage branching and feed regularly through the growing season to sustain its heavy, continuous bloom.",9-11,high,OpenPlantDB (CC0)
Rosa 'Meidomonac',Bonica Rose,flower,shrub rose,4.0,full,"Bonica was the first shrub rose to win the All-America Rose Selections award and remains a benchmark for easy-care landscape roses. It bears clusters of soft pink, lightly fragrant double blooms almost continuously from late spring to frost, followed by ornamental orange hips if deadheading is skipped late in the season. Give it full sun and average garden soil; established plants need only light pruning in late winter to remove dead or crossing wood. Its disease resistance and dense, rounded habit make it a reliable choice for hedges, borders, or mass plantings.",4-9,moderate,OpenPlantDB (CC0)
Rosa 'Ausbosco',Boscobel Rose (David Austin English Shrub Rose),flower,David Austin English shrub rose,4.0,full,"Set plants in full sun with at least six hours of direct light and rich, well-drained soil, watering deeply and regularly during the establishment year. Prune back by about a third in late winter and deadhead through the season for continued bloom. Boscobel is one of David Austin's more disease-resistant English rose introductions, bred to hold clean, healthy foliage with minimal spraying even through humid summers, an advantage for Gulf Coast gardens where black spot pressure is heavy. Its rosette-shaped, salmon-pink to peachy-apricot double flowers with a light myrrh fragrance are held upright on strong, slightly arching stems, giving the shrub a neat, well-mannered look in the border rather than the floppy habit of some older English roses. It repeats reliably through the growing season with regular deadheading and moderate feeding.",5-9,moderate,OpenPlantDB (CC0)
Parthenocissus tricuspidata,Boston Ivy (Japanese Creeper),flower,self-clinging wall vine,50.0,shade,"Plant in almost any soil in full sun to full shade; Boston ivy is the quintessential self-clinging wall vine of ivy-covered colleges and historic buildings, native to China and Japan and widely planted worldwide for its ability to cover brick, stone, and concrete walls with a seamless carpet of foliage. The simple, three-lobed leaves (variable in shape) are overlapping and smooth-textured throughout summer, then transform in autumn to some of the most spectacular fall colors of any vine — brilliant crimson, scarlet, and burgundy, rivaling the finest maples in intensity. Unlike English ivy, Boston ivy is deciduous — letting winter light through the wall and providing summer cooling by shading the masonry while becoming bare in winter. It climbs by tiny, disc-tipped adhesive tendrils that grip masonry firmly without growing into mortar. The small blue-black berries in fall are an important food source for birds. Unlike its cousin Virginia creeper (P. quinquefolia), Boston ivy's three-lobed leaves have a slightly smoother texture and the vine tends to stay flatter against a wall.",4-8,moderate,OpenPlantDB (CC0)
Aesculus parviflora,Bottlebrush Buckeye,flower,native shade shrub,10.0,partial,"Plant in moist, fertile, humus-rich soil in deep to part shade; bottlebrush buckeye is one of the most dramatic large shade shrubs in American horticulture, producing spectacular 8–12 inch cylindrical flower spikes (panicles) of densely packed white flowers with long, prominent, reddish-pink stamens in midsummer — hence 'bottlebrush' — at precisely the time when most shade shrubs have finished blooming, filling a critical gap in the summer woodland garden. The bold, tropical-looking, palmately compound leaves (5–7 leaflets each to 8 inches long) create dense shade and turn clear yellow in fall. Native to the understory of moist forests in Alabama and Georgia, it is one of the rare large shrubs that performs as well or better in dense shade as in sun. Spreads by suckers to form broad, dramatic colonies. Hummingbirds and large bumblebees are the primary pollinators. All parts are mildly toxic if ingested.",4-8,moderate,OpenPlantDB (CC0)
Bougainvillea glabra,Bougainvillea,flower,tropical flowering vine,30.0,full,"Plant in very well-drained soil in full sun; bougainvillea is the quintessential tropical vine of warm-climate gardens, producing massive displays of brilliantly colored papery bracts (the true flowers are small and white at the bract center) in shades of magenta, red, orange, pink, white, and bicolor from spring through fall — especially spectacular in late winter and spring in zone 9. The plant is a vigorous, thorny scrambler that must be trained on a strong trellis, arbor, or fence; it is not self-clinging and must be tied. Light stress (slight drought, slightly root-bound) dramatically increases bloom production. In zone 9, it may suffer frost damage in cold winters but typically regrows from the base; in zone 10–11 it blooms nearly year-round. Prune after each major bloom cycle to encourage re-blooming. Extremely heat, drought, and salt tolerant once established — one of the most spectacular flowering vines available for Gulf Coast landscapes.",9-11,low,OpenPlantDB (CC0)
Bougainvillea spectabilis,"Bougainvillea Spectabilis (Great Bougainvillea, Paper Flower, Bugambilia)",flower,tropical climbing vine,50.0,full,"Plant in full sun in well-drained, slightly acidic soil; Bougainvillea blooms most prolifically in full sun with moderate stress — overwatering and over-fertilizing produce excessive vegetative growth at the expense of flowering. Bougainvillea spectabilis is a massive, vigorous, thorny, woody climbing vine native to eastern and central Brazil, widely regarded as one of the most spectacular flowering plants in the subtropical and tropical world. Like all Bougainvillea, the apparent flowers are actually highly colored papery bracts (modified leaves) — magenta, purple, crimson, orange, pink, white, yellow, or bicolor depending on cultivar — surrounding the tiny, inconspicuous true flowers within. The bracts persist on the vine for months and are produced so profusely that a specimen in full bloom is literally buried under color. B. spectabilis is one of the two primary species (along with B. glabra) from which nearly all cultivated Bougainvillea hybrids have been developed; it is distinguished by its larger, pubescent (hairy-textured) bracts and more vigorous growth than B. glabra. The iconic vine of Mediterranean and tropical architecture — covering walls, pergolas, gateways, and entire buildings in swaths of brilliant color — Bougainvillea is the definitive plant of zone 9b-11 Gulf Coast, South Texas, California, and Florida landscapes. Sharp, stout thorns require care when pruning.",9-11,low,OpenPlantDB (CC0)
Pandorea jasminoides,"Bower Vine (Bower of Beauty, Pink Bower Vine, Jasmine Pandorea)",flower,tropical vine,20.0,partial,"Plant in full sun to partial shade in well-drained, moderately fertile soil; Bower Vine blooms most prolifically in full sun but performs well in partial shade and actually benefits from afternoon shade in zone 9's intense summer heat. Pandorea jasminoides is a vigorous, twining, evergreen vine native to eastern Australia (Queensland and New South Wales) in the Bignoniaceae family, one of the finest Australian native vines for subtropical and warm-temperate gardens worldwide. The plant produces attractive, pinnately-compound leaves with 5–9 leaflets that create a fine-textured, airy, dark-green canopy on whatever structure the vine covers. In spring and intermittently through the warm months, the vine produces clusters of funnel-shaped to trumpet-shaped flowers in shades of white to soft pink, typically with a distinct deep rose-pink to rose-red interior throat — the clean, elegant color combination has made Bower Vine one of the most popular ornamental vines for zone 9-11 gardens, walls, and arbors. The flowers are lightly fragrant in warm conditions. Multiple cultivars are available: 'Rosea' (deeper pink), 'Lady Di' (pure white with no pink throat), and 'Rosea Superba' (larger, deeper flowers). Bower Vine is relatively free of pest and disease problems in zone 9 conditions, making it one of the most reliable and beautiful low-maintenance ornamental vines for Gulf Coast gardens.",9-11,moderate,OpenPlantDB (CC0)
Gillenia trifoliata,Bowman's Root (Indian Physic),flower,native shade perennial shrub,4.0,shade,"Plant in moist, slightly acidic, humus-rich, well-drained soil in partial to full shade — Bowman's root is a graceful, airy native perennial of eastern woodland understories, producing a cloud of delicate five-petaled white to pale pink flowers on reddish-tinged branching stems in late spring to early summer — one of the most elegant of all native shade-garden plants. The leaves are trifoliate (three leaflets), giving it the specific epithet, and color attractively to orange-red in fall. It grows naturally in moist, rich, rocky woodland slopes and ravine banks from Ontario south to Georgia. Unlike most shade perennials it has a somewhat shrubby, upright structure rather than a mounding habit, adding height and structure to the shaded border. Bowman's root serves as a host plant for several native moth species and provides nectar for hummingbirds. Once established it is long-lived and low-maintenance. An outstanding native for the woodland garden in zones 4–9.",4-9,moderate,OpenPlantDB (CC0)
Lonicera nitida,Box Honeysuckle,flower,shade evergreen shrub,6.0,partial,"Root stem-tip cuttings or plant container specimens in well-drained, average to fertile, slightly acidic to slightly alkaline soil in partial shade to full sun; box honeysuckle is a Chinese evergreen shrub grown as a boxwood alternative for formal hedging in shade and difficult conditions where true boxwood (Buxus) struggles — its small, paired, glossy, oval leaves and dense, twiggy growth habit create the same refined, fine-textured, formal effect that makes boxwood so desirable, but it tolerates more shade, heat, drought, and alkaline soil than boxwood. Small, creamy-white, fragrant flowers appear in spring, followed by small, translucent, purple-red berries. It clips beautifully into formal geometric shapes and responds vigorously to shearing. 'Elegant' and 'Maigrün' (Golden-tipped new growth) are improved selections. An underused, extremely tough alternative to the blight-susceptible boxwoods increasingly being replaced across North American gardens.",6-9,low,OpenPlantDB (CC0)
Acer negundo,Boxelder,flower,native shade tree,50.0,partial,"Boxelder is a native maple unlike any other — with pinnately compound leaves (3–7 leaflets) that bear no resemblance to the classic maple leaf — native throughout almost the entirety of North America east of the Rockies and naturalized well beyond, growing in river floodplains, bottomlands, stream corridors, and disturbed urban habitats with the same casual colonizing energy as cottonwood. Often dismissed as a weed tree in horticultural circles, Boxelder provides important ecological services that more ornamental trees cannot match: it is the only host plant for the Boxelder bug (Boisea trivittata), a harmless true bug that is a significant food source for many native birds; female trees produce abundant samaras (paired winged seeds) that are an important winter food for evening grosbeaks, finches, and other seed-eating birds; and the fast-growing tree provides rapid canopy cover for riparian restoration. Tolerant of flooding, drought, poor soils, and urban pollution, Boxelder is effectively impossible to kill once established and self-seeds prolifically — use it intentionally in naturalistic, riparian, or wildlife plantings where its resilience is an asset.",2-9,moderate,OpenPlantDB (CC0)
Magnolia grandiflora 'Bracken's Brown Beauty',Bracken's Brown Beauty Magnolia (Cold-Hardy Southern Magnolia),flower,evergreen tree,30.0,full,"Plant in moist to moderately dry, slightly acidic, well-drained soil in full sun; Bracken's Brown Beauty is one of the most exceptional named Southern magnolia cultivars for cold-climate performance — consistently hardy in zone 5 with reliable protection and zone 6 without protection, significantly colder than most Southern magnolia cultivars. It was selected by Ray Bracken of Bracken's Greenhouses in Easley, South Carolina, from seedlings grown at the Secrest Arboretum in Wooster, Ohio — selected specifically for cold hardiness in a climate where Southern magnolias are not traditionally grown. Despite its northern origin, it performs beautifully in zone 9 and throughout the Southeast. The leaves are particularly distinctive: smaller and more densely arranged than many cultivars, with an exceptionally rich, dark cinnamon-brown to rusty-red woolly undersurface (indumentum) that is thicker and more prominent than most selections, creating year-round visual interest as the wind moves the leaves to reveal the contrasting undersides. The medium-sized flowers (5–7 inches) are intensely fragrant and produced prolifically from May through September in zone 9. Bracken's Brown Beauty grows to full tree size (20–30+ feet) and is appropriate for medium-to-large landscape plantings.",5-10,moderate,OpenPlantDB (CC0)
Hydrangea involucrata,Bracted Hydrangea,flower,shade shrub,5.0,shade,"Plant container shrubs in spring in moist, well-drained, humus-rich, acidic soil in partial to full shade; bracted hydrangea blooms later than most hydrangea species, from late summer into fall, avoiding damage from late spring frosts that can nip earlier bloomers. Hydrangea involucrata is a Japanese species notable for its unusual flower buds, which are wrapped in showy, papery bracts that peel back as the lacecap-form flower clusters of pale blue-lavender to pink open in late summer, later than nearly any other hydrangea. Its late bloom time and distinctive bud structure make it a valuable addition for extending hydrangea interest into fall in a shaded border, and it stays relatively compact compared with many other hydrangea species. Give it rich, evenly moist soil similar to bigleaf hydrangea, and protect from harsh winter cold at the northern edge of its hardiness range.",6-9,moderate,OpenPlantDB (CC0)
Passiflora affinis,Bracted Passionflower,flower,native vine,8.0,partial,"Plant in well-drained soil in full sun to partial shade with support to climb; bracted passionflower is a smaller-flowered Texas and northeastern Mexico native passionvine, distinguished from the showier maypop by its more finely three-lobed leaves and modest, pale greenish-white to cream flowers backed by a distinctive ring of leafy bracts. Like other native passionflowers, it is an essential larval host plant for gulf fritillary and other passionflower-dependent butterflies, and the vine is often grown specifically for that wildlife value rather than for its comparatively small, less palatable fruit. It spreads by root suckers to form a thicket over time, which is useful for naturalizing a butterfly garden corner but should be watched in smaller, mixed borders. Where winters bring hard freezes, expect the top growth to die back, with new shoots emerging from the roots once the soil warms in spring.",8-9,moderate,OpenPlantDB (CC0)
Viburnum bracteatum,Bracted Viburnum (Southeastern Viburnum),flower,native flowering shrub,10.0,partial,"Plant container-grown shrubs in spring in average, well-drained soil in full sun to partial shade; bracted viburnum is a rare native selected for good garden performance and drought tolerance once established. Flat clusters of small white flowers open in mid-spring on a dense, upright shrub with dark green, toothed leaves, followed by blue-black fruit that provides food for birds into fall, a garden performance similar to more commonly grown viburnums but from an uncommon Georgia native species discovered along the Savannah River in the twentieth century. Its combination of good drought tolerance, dense habit, and reliable spring bloom and fall fruit makes it a worthwhile, less common alternative to more commonly planted viburnum species for a native shrub border or wildlife garden. Water during establishment, then rely mainly on natural rainfall, and prune lightly after flowering if shaping is needed.",6-9,moderate,OpenPlantDB (CC0)
Justicia carnea,Brazilian Plume Flower,flower,tropical shade shrub,5.0,shade,"Root stem cuttings in moist potting mix or plant container specimens in moist, well-drained, organically rich soil in partial to full shade; Brazilian plume flower is a South American native soft-wooded shrub that delivers one of the most spectacular flower displays possible in a shaded landscape — dense, upright, plume-like clusters of tubular rose-pink to deep magenta flowers from late summer through frost, and again in spring. The large, oval, dark-green leaves are handsome throughout the year. Hummingbirds visit the flowers repeatedly. Requires consistent moisture and resents drought; water deeply during hot, dry spells. Cut back by one-half to two-thirds in early spring to promote vigorous, floriferous new growth. In zone 9 it may be killed to the ground by hard frost but re-sprouts from the base; mulch heavily in winter.",9-11,moderate,OpenPlantDB (CC0)
Megaskepasma erythrochlamys,Brazilian Red Cloak,flower,tropical flowering shrub,10.0,partial,"Plant in rich, moist, well-drained soil in partial shade to full sun; Brazilian red cloak is a bold, fast-growing tropical shrub grown for its striking upright flower spikes, in which large, deep red-maroon bracts overlap like shingles and part to reveal pure white, tubular flowers, creating a strong color contrast that blooms heavily from late summer into winter in frost-free climates. Large, glossy, dark green leaves give the shrub a lush, substantial presence even between flowering flushes, quickly filling out a tropical border or privacy planting where winters stay mild. It grows rapidly and can become leggy without regular pinching or a hard pruning in early spring, which encourages the dense, well-branched form that shows off the flower spikes best. Where frost is a risk, grow it in a large container that can be moved under cover for winter, or mulch heavily and expect it to die back and resprout from the roots after a light freeze.",9-11,moderate,OpenPlantDB (CC0)
Duranta stenostachya,Brazilian Skyflower,flower,Brazilian native small ornamental shrub,6.0,full,"Plant Duranta stenostachya in well-drained, moderately fertile soil in full sun to partial shade; water regularly during establishment; prune after flowering to maintain compact shape; more cold-hardy than Duranta erecta, tolerating light frost to about 28°F. CAUTION: the berries are toxic to humans and pets. Brazilian Skyflower is a close relative of the widely grown Pigeon Berry (Duranta erecta) but with a distinctly different character: where D. erecta is a large, sprawling, vigorous shrub or small tree reaching 15 feet, D. stenostachya stays compact and rounded at 3–6 feet, making it much more manageable in typical garden situations. The flower spikes are narrower and more erect than D. erecta's cascading clusters, giving a slightly different visual effect; the violet-blue to lavender flower color is similar. Originally from the cerrado and forest-savanna transitions of interior Brazil, it is adapted to the seasonal drought and lean soils of tropical savannas — making it more drought-tolerant than D. erecta once established. The compact form makes it an excellent choice for informal hedges, mixed shrub borders, and foundation plantings in zone 9–11 gardens. Butterflies and hummingbirds visit the flowers just as reliably as they visit D. erecta. The yellow-orange berry clusters are ornamental through winter and much appreciated by mockingbirds and thrushes — but should not be eaten by people or pets.",9-11,moderate,OpenPlantDB (CC0)
Blechnum brasiliense,Brazilian Tree Fern (Red-scaled Tree Fern),flower,shade tree fern,4.0,shade,"Plant in consistently moist, humus-rich, slightly acidic to neutral soil in partial to full shade; Brazilian tree fern develops a short, scaly trunk over time and produces striking architectural fronds up to 3 feet long with a distinctive ladder-like arrangement of leaflets. New croziers and expanding fronds emerge in vivid copper to red tones before maturing to dark, glossy green. The contrast between the dark mature fronds and the red new growth is especially dramatic in spring. It thrives in sheltered, humid, shaded positions in zones 8b-11, excellent at the base of a building wall or among large tropical perennials in a sheltered courtyard garden.",8-11,high,OpenPlantDB (CC0)
Justicia aurea,Brazilian Yellow Sage,flower,shade-tolerant tropical shrub,6.0,partial,"Root stem cuttings or plant container specimens in moist, average to fertile, humus-rich soil in partial shade; Brazilian yellow sage (yellow jacobinia, golden justicia, golden plume) is a Central American tropical shrub of the family Acanthaceae that produces dense, upright, cone-shaped spikes of bright-yellow, tubular, two-lipped flowers in the fall and winter months — at a time when yellow-flowering shade plants are exceptionally rare. The golden-yellow flower spikes, clustered densely at the tips of the arching stems, provide a vivid autumn-to-winter color display in the warm-climate garden that is nearly unmatched among partial-shade flowering shrubs. The large, soft, oval, velvety-hairy leaves are attractive and provide bold foliage texture in the shade garden. Like other shade-tolerant members of the Acanthaceae, it performs remarkably well in the dappled light of open tree canopies — one of few large-growing shade-tolerant shrubs that produce ornamental spikes of flowers rather than solitary tubular flowers. In zone 9 it freezes to the ground but regrows vigorously in spring. Cut back after flowering to encourage compact regrowth.",9-12,moderate,OpenPlantDB (CC0)
Coleonema pulchellum,Breath of Heaven (Confetti Bush),flower,aromatic fine-textured Cape fynbos shrub,5.0,full,"Plant in very well-drained, lean, slightly acidic to neutral, sandy or rocky soil in full sun; breath of heaven is a South African Cape fynbos shrub prized for two complementary qualities: the fine, soft, needle-like, heather-like aromatic foliage that releases a sweet citrus-like scent when brushed or touched — earning the common name 'breath of heaven' — and the winter to early spring flowering, when the entire shrub becomes covered in hundreds of tiny, five-petaled, pink to white-pink flowers so numerous and so densely covering the fine, feathery foliage that the plant appears dusted with confetti, giving the alternative common name 'confetti bush'. The flower display in late winter and early spring, when the fine-textured shrub is smothered in small, clear-pink flowers against the bright-green, aromatic, needle-like foliage, is one of the most cheerful winter garden displays available in zone 9 landscapes. The aromatic foliage is attractive year-round and the light, fine texture provides a delicate contrast to bolder neighboring plants. It demands excellent drainage — the primary requirement for success — and lean soils. A valued landscape shrub in California and in Gulf Coast Mediterranean-style gardens.",8-11,low,OpenPlantDB (CC0)
Plumeria pudica,Bridal Bouquet Plumeria (Fiddle-Leaf Evergreen Plumeria),flower,tropical ornamental tree,20.0,full,"Plant cuttings in extremely well-drained, sandy soil in full sun. Plumeria pudica, commonly sold as Bridal Bouquet, is a distinctive species with elongated, glossy, dark green, fiddle- or spoon-shaped leaves entirely different from the broad, oval leaves of standard Plumeria rubra hybrids, giving it a unique tropical texture even when not in bloom. Unlike most plumeria, it is evergreen and nearly ever-blooming in frost-free conditions, producing clusters of pure white flowers with a soft yellow throat and a mild, pleasant fragrance almost continuously rather than in a single seasonal flush. It also branches and fills out more readily than many plumeria, forming a fuller, bushier plant at a younger age. In zone 9a it is best grown in a container: bring indoors before temperatures drop into the 40s, since it tolerates cold poorly even compared to other plumeria, and reduce water in winter if kept in a cooler spot. Outdoors in frost-free zones it makes an excellent low-maintenance flowering hedge or specimen.",10-12,low,OpenPlantDB (CC0)
